date,temperature,cloud_cover,sales
2024-05-01,22.133333333333333,71.22222222222223,1491
2024-05-02,18.733333333333334,84.22222222222223,1104
2024-05-03,11.855555555555556,100.0,41
2024-05-04,16.455555555555556,81.0,769
2024-05-05,17.433333333333334,66.22222222222223,1071
2024-05-06,16.844444444444445,97.88888888888889,920
2024-05-07,14.622222222222222,100.0,601
2024-05-08,11.144444444444444,100.0,93
2024-05-09,15.5,82.77777777777777,798
2024-05-10,17.788888888888888,62.22222222222222,1177
2024-05-11,19.066666666666666,67.44444444444444,1128
2024-05-12,20.244444444444444,3.6666666666666665,1904
2024-05-13,19.200000000000003,18.666666666666668,1627
2024-05-14,20.822222222222223,14.0,1933
2024-05-15,19.98888888888889,99.22222222222223,1022
2024-05-16,20.066666666666666,91.66666666666667,911
2024-05-17,13.844444444444443,100.0,490
2024-05-18,19.055555555555557,54.666666666666664,1362
2024-05-19,18.266666666666666,51.666666666666664,1293
2024-05-20,21.38888888888889,75.88888888888889,1347
2024-05-21,14.355555555555554,100.0,594
2024-05-22,16.51111111111111,69.66666666666667,935
2024-05-23,15.644444444444446,98.88888888888889,557
2024-05-24,16.72222222222222,86.33333333333333,880
2024-05-25,17.37777777777778,88.88888888888889,848
2024-05-26,20.477777777777778,26.555555555555557,1860
2024-05-27,19.144444444444446,88.0,1043
2024-05-28,15.0,97.44444444444444,532
2024-05-29,19.055555555555557,81.88888888888889,1206
2024-05-30,17.033333333333335,86.11111111111111,836
2024-05-31,11.444444444444445,100.0,54
2024-06-01,11.855555555555556,100.0,59
2024-06-02,17.433333333333334,56.333333333333336,1185
2024-06-03,15.422222222222224,99.33333333333333,452
2024-06-04,18.98888888888889,36.55555555555556,1608
2024-06-05,21.4,45.0,1717
2024-06-06,21.833333333333332,71.33333333333333,1438
2024-06-07,20.4,48.22222222222222,1492
2024-06-08,22.62222222222222,99.33333333333333,1261
2024-06-09,21.066666666666666,97.22222222222223,1193
2024-06-10,18.58888888888889,50.44444444444444,1440
2024-06-11,12.377777777777778,100.0,118
2024-06-12,15.88888888888889,79.55555555555556,983
2024-06-13,16.155555555555555,58.44444444444444,966
2024-06-14,18.11111111111111,75.66666666666667,936
2024-06-15,17.4,98.88888888888889,906
2024-06-16,20.077777777777776,23.555555555555557,1893
2024-06-17,21.22222222222222,81.55555555555556,1400
2024-06-18,27.1,67.33333333333333,1969
2024-06-19,26.555555555555557,41.44444444444444,2348
2024-06-20,25.41111111111111,99.66666666666667,1533
2024-06-21,22.922222222222224,91.33333333333333,1239
2024-06-22,20.744444444444444,64.11111111111111,1366
2024-06-23,19.355555555555554,76.11111111111111,1048
2024-06-24,22.98888888888889,57.333333333333336,1815
2024-06-25,24.677777777777777,17.333333333333332,2411
2024-06-26,21.922222222222224,98.22222222222223,1106
2024-06-27,23.755555555555556,58.333333333333336,1776
2024-06-28,25.788888888888888,72.22222222222223,1896
2024-06-29,30.377777777777776,77.88888888888889,2142
2024-06-30,22.322222222222223,82.66666666666667,1499
2024-07-01,19.477777777777778,87.11111111111111,976
2024-07-02,17.633333333333333,84.11111111111111,783
2024-07-03,15.466666666666665,99.88888888888889,463
2024-07-04,19.544444444444444,69.77777777777777,1219
2024-07-05,22.833333333333332,93.11111111111111,1266
2024-07-06,24.744444444444447,76.88888888888889,1826
2024-07-07,15.711111111111112,91.88888888888889,652
2024-07-08,21.644444444444446,86.88888888888889,1152
2024-07-09,27.033333333333335,86.88888888888889,1868
2024-07-10,23.522222222222222,73.33333333333333,1475
2024-07-11,24.822222222222223,34.111111111111114,2294
2024-07-12,23.788888888888888,82.77777777777777,1430
2024-07-13,19.366666666666667,99.77777777777777,894
2024-07-14,22.9,85.44444444444444,1454
2024-07-15,28.144444444444442,38.77777777777778,2348
2024-07-16,23.822222222222223,69.77777777777777,1585
2024-07-17,21.344444444444445,83.77777777777777,1321
2024-07-18,24.655555555555555,71.33333333333333,1596
2024-07-19,26.38888888888889,76.22222222222223,1980
2024-07-20,24.033333333333335,53.22222222222222,1741
2024-07-21,25.955555555555556,57.888888888888886,1891
2024-07-22,21.355555555555554,72.44444444444444,1396
2024-07-23,22.866666666666667,42.333333333333336,1642
2024-07-24,20.9,32.888888888888886,1759
2024-07-25,22.4,72.66666666666667,1440
2024-07-26,25.444444444444443,82.66666666666667,1751
2024-07-27,28.044444444444444,43.111111111111114,2362
2024-07-28,21.155555555555555,41.666666666666664,1788
2024-07-29,23.522222222222222,0.0,2262
2024-07-30,26.72222222222222,27.444444444444443,2477
2024-07-31,29.15555555555555,44.22222222222222,2473
2024-08-01,25.0,80.77777777777777,1640
2024-08-02,23.41111111111111,55.22222222222222,1810
2024-08-03,22.200000000000003,56.0,1582
2024-08-04,22.688888888888886,93.77777777777777,1271
2024-08-05,21.922222222222224,48.0,1658
2024-08-06,25.366666666666667,21.333333333333332,2341
2024-08-07,23.700000000000003,91.33333333333333,1444
2024-08-08,21.61111111111111,63.111111111111114,1316
2024-08-09,24.677777777777777,90.0,1711
2024-08-10,27.1,20.77777777777778,2674
2024-08-11,27.922222222222224,26.11111111111111,2467
2024-08-12,27.655555555555555,82.88888888888889,2020
2024-08-13,26.444444444444443,63.0,2070
2024-08-14,27.022222222222222,67.33333333333333,1986
2024-08-15,26.066666666666666,66.0,1926
2024-08-16,24.366666666666667,85.88888888888889,1684
2024-08-17,23.466666666666665,100.0,1185
2024-08-18,19.355555555555554,99.88888888888889,1018
2024-08-19,17.022222222222222,100.0,826
2024-08-20,21.133333333333333,71.22222222222223,1337
2024-08-21,19.577777777777776,61.0,1494
2024-08-22,21.633333333333333,71.66666666666667,1526
2024-08-23,26.1,7.111111111111111,2648
2024-08-24,27.700000000000003,9.222222222222221,2668
2024-08-25,14.733333333333333,98.55555555555556,384
2024-08-26,16.755555555555556,100.0,637
2024-08-27,21.477777777777778,98.22222222222223,939
2024-08-28,25.788888888888888,43.44444444444444,2061
2024-08-29,27.3,9.11111111111111,2705
2024-08-30,27.355555555555554,57.888888888888886,2071
2024-08-31,26.666666666666668,97.0,1734
2024-09-01,26.055555555555557,77.0,2038
2024-09-02,24.288888888888888,64.66666666666667,1728
2024-09-03,24.422222222222224,28.11111111111111,2194
2024-09-04,24.233333333333334,86.77777777777777,1401
2024-09-05,26.48888888888889,88.55555555555556,1857
2024-09-06,21.366666666666667,48.333333333333336,1746
2024-09-07,24.555555555555557,0.4444444444444444,2385
2024-09-08,22.755555555555556,100.0,1179
2024-09-09,16.866666666666667,87.66666666666667,765
2024-09-10,16.12222222222222,57.888888888888886,908
2024-09-11,15.933333333333334,100.0,647
2024-09-12,9.744444444444445,100.0,79
2024-09-13,8.744444444444445,100.0,0
2024-09-14,7.111111111111111,100.0,0
2024-09-15,11.2,99.33333333333333,286
2024-09-16,9.233333333333333,100.0,0
2024-09-17,14.655555555555557,54.0,948
2024-09-18,18.299999999999997,19.555555555555557,1473
2024-09-19,18.022222222222222,10.555555555555555,1685
2024-09-20,18.48888888888889,16.333333333333332,1689
2024-09-21,19.266666666666666,19.88888888888889,1738
2024-09-22,19.61111111111111,99.44444444444444,1024
2024-09-23,20.022222222222222,94.44444444444444,973
2024-09-24,16.41111111111111,31.0,1282
2024-09-25,18.255555555555556,90.11111111111111,848
2024-09-26,16.555555555555557,99.77777777777777,634
2024-09-27,15.311111111111112,91.55555555555556,433
2024-09-28,11.666666666666666,74.11111111111111,521
2024-09-29,11.88888888888889,81.77777777777777,418
2024-09-30,13.933333333333334,79.33333333333333,675
2024-10-01,14.766666666666667,100.0,460
2024-10-02,12.566666666666666,42.55555555555556,859
2024-10-03,10.566666666666666,100.0,6
2024-10-04,8.899999999999999,100.0,47
2024-10-05,9.566666666666666,93.0,0
2024-10-06,12.177777777777777,81.77777777777777,263
2024-10-07,18.533333333333335,59.888888888888886,1240
2024-10-08,18.155555555555555,99.88888888888889,833
2024-10-09,17.944444444444443,68.0,1349
2024-10-10,12.955555555555556,77.88888888888889,621
2024-10-11,11.244444444444445,24.11111111111111,937
2024-10-12,13.088888888888889,99.0,230
2024-10-13,10.88888888888889,95.44444444444444,36
2024-10-14,16.27777777777778,56.0,968
2024-10-15,14.211111111111112,100.0,498
2024-10-16,16.077777777777776,84.22222222222223,858
2024-10-17,18.255555555555556,58.111111111111114,1332
2024-10-18,13.677777777777777,96.77777777777777,304
2024-10-19,15.744444444444444,100.0,430
2024-10-20,14.799999999999999,99.77777777777777,489
2024-10-21,16.044444444444444,51.666666666666664,1134
2024-10-22,15.61111111111111,81.11111111111111,770
2024-10-23,11.533333333333333,100.0,230
2024-10-24,12.255555555555555,58.0,727
2024-10-25,12.644444444444444,77.33333333333333,616
2024-10-26,12.7,35.666666666666664,991
2024-10-27,14.211111111111112,79.77777777777777,461
2024-10-28,13.7,4.333333333333333,1258
2024-10-29,13.588888888888889,4.888888888888889,1287
2024-10-30,12.466666666666667,59.77777777777778,832
2024-10-31,11.588888888888889,77.22222222222223,316
