student_id,midterm_grade,study_hours,missed_classes,final_grade
1,68.61414733989902,24.354372812131615,2,99.45150152252683
2,81.0142835772731,27.26909615832836,3,98.71158127271742
3,48.416769622930246,3.589394910795301,2,40.197655623816786
4,60.0486696258521,18.341308240388855,4,76.01285722265153
5,68.48907867560497,15.558488977468924,2,70.57094667918675
6,100.0,5.72201599566096,0,100.0
7,90.90562129652302,7.940605697360072,2,83.64487352973772
8,66.88943301907211,20.69123987775948,1,100.0
9,81.45380929110655,0.0,1,59.066154802713605
10,73.07580475388606,18.160483618599713,1,86.57895141667333
11,54.37755738931794,22.46827002916637,1,96.21917353434014
12,57.57885865947667,3.5994164595824305,2,46.04267194067528
13,54.193064723158216,24.71642518510773,4,72.57749945692605
14,68.66862002947663,17.933526458993732,3,77.03067329229285
15,72.3729003193195,20.958723360953876,5,80.88735386196439
16,43.160154291221666,9.056750988069123,2,43.175731276353865
17,85.95222666760418,0.0,2,66.15011146516947
18,70.55680007632549,6.235555874220723,1,64.94713698322994
19,67.5436310438064,0.0,0,61.744831408848285
20,65.07688646435786,1.6957259204495916,3,48.950688370484
21,93.83464755250085,16.637894971030462,1,100.0
22,67.16825475403729,1.470736929002939,2,55.97094107987378
23,67.27415543921528,13.793889641418435,1,82.14022116943707
24,80.76850318615993,30.253367468093252,3,100.0
25,69.98939123732214,4.615559390172543,0,78.14910579798463
26,81.73250449411819,13.311656180397412,4,71.00759910476451
27,71.3048668175676,0.0,2,51.417238996385734
28,70.99383353908377,19.385388995680746,2,86.39053201735675
29,88.00847412335978,19.341156598350146,1,100.0
30,69.07502033016578,3.4452649808494638,0,69.52734813260844
31,56.486404816836924,0.3526046790216615,3,35.14011596927094
32,51.11127933996508,5.5978748147161035,1,54.15849560519167
33,70.84949297296572,0.0,4,38.23827427011693
34,55.506720761418926,15.437821584864471,6,48.242263924705654
35,81.22833322956463,20.50946492959092,1,100.0
36,74.17279583273515,11.179645322181305,1,77.3030760930605
37,65.33865773431192,0.0,3,41.107589944806875
38,60.191425199100756,25.9406554514235,3,87.19781352419002
39,68.9057802545754,14.79259227233457,0,85.10398262309053
40,78.87906301408422,12.314487358071263,1,84.76935790988925
41,82.86405961395914,0.0,2,61.72544981809414
42,52.087323912717245,8.867276641542476,1,56.410693967517616
43,98.52311098703977,10.434159046137685,2,93.25360801445325
44,60.322239253585096,11.046011675386229,1,83.72103166039051
45,52.26704976289541,15.775685815821607,2,60.464957501542926
46,93.28307615602331,1.5640923789224388,3,70.44868172740131
47,88.24482302459353,5.146152546714537,0,97.58564435558417
48,84.04505770711145,2.400566081944304,1,75.13101792832317
49,59.86674236471374,7.7008235659593005,0,68.12934259372106
50,86.03980444978299,0.0,1,62.6072717805467
51,68.35386972907469,19.564557491284702,1,95.5552144643127
52,49.10146406296522,14.704419944815271,2,63.035666586525636
53,59.92749295763297,17.554094831723386,1,80.4203931320906
54,51.06887664361284,8.376285403949595,1,51.05445217961288
55,83.53208365731837,12.833974904613896,0,95.59714033005262
56,87.6042095215096,5.002720422988441,2,77.37777951085198
57,54.41063286899784,25.70849708444781,2,90.14431769584262
58,67.65358293427782,0.0,3,47.23863899639912
59,75.918944421952,0.0,2,47.44361393850066
60,52.50588330564591,8.648357405201317,3,39.777538498886415
61,84.05594297911713,11.644379786098138,3,78.64507880818235
62,54.93075488318961,33.46303178192697,2,100.0
63,49.13846335422536,20.4680799533498,0,72.48634701076027
64,57.30594968526337,15.384741528527396,1,73.77900478784706
65,64.41875985046087,1.1815612879121353,2,48.07883276547475
66,57.10738699085733,0.2026367699181577,3,35.341582654918874
67,88.08998051636158,0.10543644377477968,1,79.13884064045934
68,70.02833621486785,17.743348773317166,1,95.44308303619364
69,48.58407572559321,19.30336722574183,2,69.0188255372581
70,75.14935616224412,18.766680600156263,1,87.37063991911998
71,48.485950912916,0.49837530980145495,1,44.168818528229636
72,92.96158740961862,0.0,1,84.3691557340701
73,51.96922913618279,10.776448951171304,1,56.80072931057809
74,63.31733535735086,14.646192699211179,0,78.8775171421778
75,72.87290810999545,12.029364100959723,0,94.31997519737288
76,58.32425292942349,17.69786202149821,3,64.86147195817328
77,55.219937688832495,18.19541132024084,2,77.53336442339207
78,73.79124645461694,22.508374758281533,3,93.73334927054
79,46.58321867792593,17.815370933906202,1,72.88613590192955
80,85.60380293754262,0.0,4,57.272370777873
81,50.61127429873866,3.1485091815317103,1,49.872483153689664
82,51.169257788606814,7.717709132543291,1,46.150077998258794
83,67.82781803840722,28.391836114786997,2,97.35057284016362
84,36.824962070510395,3.000555925972086,1,28.956195611151685
85,69.73166867761374,6.843398888193922,2,61.83536835492542
86,59.055483734242415,7.7121178446076515,2,56.5744806479524
87,74.99808243900439,17.02155232228978,1,95.37196918423372
88,68.37306532487412,6.784033706090698,3,61.828826803804745
89,83.48732701658403,12.771022705398348,2,80.68411951262229
90,56.50016226736916,0.0,2,41.43989594009666
91,81.93884434827065,10.908033112949255,3,75.35716982442062
92,69.9649011247919,21.710282160121356,2,87.25822939762432
93,62.227370515402185,15.668939672919324,1,86.06053492217112
94,73.20778053023595,7.683676214650555,1,72.95521430198407
95,58.35660323357968,18.587499044417953,4,66.61423734383654
96,61.11618696515874,18.423860062696207,5,58.85557798007585
97,61.907980997241225,14.055983044830034,3,68.8507443791677
98,72.66696319618069,16.856198969750103,1,88.09036773653156
99,68.24082026114421,20.495331539138462,5,69.62852192552765
100,38.02104847113033,2.7004831869930834,6,5.445618321648846
